0.08, 0.62, 1.11, 1.99, 0.02
0.00, 8.00, 0.00, 3.31, 0.02
7.66, 28.68, 0.85, 0.90, 0.17
42.54, 110.12, 0.82, 0.77, 0.50
45.62, 106.60, 0.76, 0.72, 0.15
44.69, 106.60, 0.78, 0.79, 0.53
43.25, 107.74, 0.79, 0.82, 0.46
45.14, 108.65, 0.77, 0.77, 0.30
41.02, 111.40, 0.85, 0.86, 0.47
44.38, 111.06, 0.79, 0.86, 0.64
42.61, 113.42, 0.83, 0.80, 0.36
44.57, 105.95, 0.79, 0.76, 0.43
44.94, 105.23, 0.80, 0.76, 0.43
44.38, 111.05, 0.78, 0.77, 0.20
45.86, 107.43, 0.79, 0.84, 0.66
41.71, 105.57, 0.83, 0.87, 0.95
43.89, 110.93, 0.80, 0.81, 0.32
41.93, 114.37, 0.83, 0.81, 0.41
43.88, 111.85, 0.80, 0.80, 0.60
44.44, 115.30, 0.79, 0.78, 0.34
42.76, 111.12, 0.82, 0.75, 0.44
42.66, 109.83, 0.81, 0.78, 0.56
41.96, 118.65, 0.83, 0.84, 0.38
38.98, 120.40, 0.85, 0.89, 0.74
41.54, 118.53, 0.82, 0.84, 0.43
41.40, 124.26, 0.86, 0.84, 0.39
39.77, 115.03, 0.86, 0.91, 0.72
44.91, 101.41, 0.77, 0.79, 0.40
46.38, 106.82, 0.75, 0.75, 0.31
43.80, 106.88, 0.77, 0.83, 0.58
43.82, 107.30, 0.80, 0.76, 0.56
45.33, 108.14, 0.75, 0.71, 0.12
43.36, 108.96, 0.81, 0.78, 0.54
44.43, 106.89, 0.78, 0.70, 0.42
42.70, 115.23, 0.81, 0.82, 0.38
40.58, 111.26, 0.85, 0.88, 0.58
44.34, 100.29, 0.79, 0.77, 0.46
44.26, 95.17, 0.72, 0.68, 0.21
40.81, 106.44, 0.76, 0.74, 0.63
41.54, 103.10, 0.78, 0.79, 0.62
46.49, 100.88, 0.75, 0.72, 0.27
45.36, 101.12, 0.75, 0.75, 0.71
44.77, 103.51, 0.77, 0.75, 0.40
46.92, 101.53, 0.77, 0.70, 0.54
45.29, 100.38, 0.77, 0.72, 0.47
46.21, 99.37, 0.76, 0.73, 0.20
45.81, 99.02, 0.74, 0.71, 0.36
46.78, 103.50, 0.75, 0.71, 0.24
45.66, 99.67, 0.74, 0.76, 0.47
43.86, 102.52, 0.80, 0.76, 0.54
44.78, 100.61, 0.77, 0.75, 0.22
46.98, 102.44, 0.76, 0.71, 0.43
44.62, 97.75, 0.76, 0.71, 0.48
45.36, 99.95, 0.79, 0.73, 0.62
45.64, 104.58, 0.79, 0.78, 0.63
46.42, 103.12, 0.74, 0.69, 0.22
45.28, 100.48, 0.76, 0.76, 0.49
44.71, 105.51, 0.79, 0.76, 0.58
46.16, 104.45, 0.76, 0.68, 0.16
44.44, 106.11, 0.79, 0.75, 0.57
44.46, 103.26, 0.79, 0.76, 0.53
44.63, 107.79, 0.76, 0.74, 0.28
46.22, 97.11, 0.75, 0.72, 0.48
46.34, 108.88, 0.76, 0.73, 0.24
42.70, 100.14, 0.81, 0.78, 0.66
46.20, 98.69, 0.76, 0.70, 0.53
48.33, 103.24, 0.72, 0.67, 0.21
42.52, 102.28, 0.76, 0.71, 0.53
41.39, 97.15, 0.72, 0.67, 0.30
42.50, 100.07, 0.72, 0.71, 0.46
42.70, 104.55, 0.80, 0.85, 0.82
46.45, 102.04, 0.73, 0.75, 0.34
49.64, 89.31, 0.69, 0.68, 0.47
47.95, 91.32, 0.69, 0.67, 0.17
47.56, 92.78, 0.74, 0.73, 0.43
43.96, 104.69, 0.80, 0.79, 0.44
44.79, 111.62, 0.78, 0.74, 0.28
44.73, 104.03, 0.78, 0.78, 0.41
44.85, 102.01, 0.78, 0.74, 0.48
46.46, 99.30, 0.73, 0.70, 0.29
44.31, 105.06, 0.77, 0.76, 0.62
47.03, 98.42, 0.72, 0.69, 0.09
47.09, 92.70, 0.72, 0.70, 0.46
48.73, 87.81, 0.69, 0.68, 0.38
49.14, 90.49, 0.71, 0.67, 0.20
47.66, 90.07, 0.70, 0.70, 0.38
48.18, 90.95, 0.70, 0.66, 0.24
45.86, 90.91, 0.74, 0.69, 0.73
47.81, 86.71, 0.73, 0.69, 0.46
47.99, 85.33, 0.71, 0.66, 0.60
50.16, 84.21, 0.68, 0.67, 0.38
47.55, 86.27, 0.72, 0.67, 0.46
46.90, 87.85, 0.72, 0.70, 0.39
51.23, 88.02, 0.67, 0.60, 0.16
46.69, 87.35, 0.74, 0.71, 0.50
53.19, 89.55, 0.66, 0.65, 0.17
57.24, 95.66, 0.65, 0.76, 0.55
48.28, 87.92, 0.69, 0.66, 0.12
48.16, 86.54, 0.69, 0.63, 0.46
43.31, 91.11, 0.67, 0.63, 0.30
45.38, 87.59, 0.65, 0.62, 0.14
45.66, 93.55, 0.76, 0.79, 0.86
49.18, 92.77, 0.69, 0.65, 0.28
47.91, 97.41, 0.75, 0.69, 0.77
44.02, 107.14, 0.81, 0.80, 0.66
44.57, 101.14, 0.77, 0.73, 0.58
45.00, 100.30, 0.76, 0.74, 0.21
48.11, 102.90, 0.73, 0.66, 0.27
47.12, 103.34, 0.75, 0.72, 0.42
52.13, 97.23, 0.68, 0.69, 0.12
45.96, 103.73, 0.78, 0.73, 0.56
45.47, 101.04, 0.77, 0.79, 0.45
47.56, 103.18, 0.72, 0.69, 0.17
45.05, 98.44, 0.77, 0.71, 0.55
45.64, 97.09, 0.76, 0.72, 0.40
45.53, 108.45, 0.75, 0.76, 0.42
45.76, 99.75, 0.77, 0.70, 0.45
47.27, 105.36, 0.74, 0.72, 0.24
45.66, 103.13, 0.78, 0.79, 0.75
44.25, 101.75, 0.78, 0.73, 0.32
48.38, 105.03, 0.73, 0.72, 0.28
45.79, 100.39, 0.76, 0.76, 0.58
45.91, 96.95, 0.79, 0.73, 0.98
45.99, 110.70, 0.76, 0.75, 0.24
