0.06, 0.58, 1.15, 1.96, 0.02
0.00, 4.00, 0.00, 3.38, 0.01
0.00, 2.00, 0.00, 3.25, 0.00
0.00, 4.01, 0.00, 3.20, 0.01
0.00, 4.00, 0.00, 2.80, 0.01
53.66, 77.11, 0.67, 0.50, 0.08
59.34, 86.00, 0.69, 0.54, 0.33
60.77, 93.50, 0.66, 0.53, 0.12
61.17, 87.40, 0.68, 0.52, 0.36
59.70, 86.20, 0.67, 0.51, 0.03
62.05, 89.18, 0.66, 0.53, 0.36
61.21, 89.78, 0.66, 0.52, 0.13
60.13, 87.46, 0.67, 0.58, 0.41
62.74, 87.34, 0.64, 0.50, 0.04
58.13, 84.76, 0.69, 0.58, 0.36
58.30, 89.69, 0.70, 0.53, 0.37
64.93, 95.19, 0.65, 0.58, 0.14
58.97, 86.59, 0.68, 0.53, 0.32
59.87, 92.60, 0.68, 0.54, 0.14
58.71, 87.23, 0.69, 0.53, 0.35
60.74, 88.72, 0.67, 0.49, 0.09
60.06, 85.29, 0.68, 0.53, 0.42
60.88, 88.68, 0.66, 0.52, 0.20
71.65, 93.61, 0.59, 0.65, 0.78
63.18, 88.21, 0.65, 0.53, 0.07
59.58, 83.04, 0.69, 0.53, 0.63
61.13, 87.75, 0.68, 0.51, 0.42
59.82, 87.47, 0.66, 0.55, 0.25
59.07, 84.63, 0.68, 0.51, 0.25
64.38, 90.04, 0.65, 0.55, 0.31
60.59, 85.07, 0.70, 0.55, 0.52
60.09, 87.18, 0.67, 0.51, 0.11
60.01, 82.84, 0.70, 0.52, 0.39
71.00, 93.43, 0.60, 0.61, 0.45
60.85, 86.13, 0.67, 0.51, 0.34
60.82, 87.61, 0.68, 0.54, 0.23
61.41, 86.52, 0.66, 0.53, 0.46
60.96, 86.55, 0.66, 0.55, 0.17
60.10, 87.24, 0.68, 0.51, 0.44
60.80, 85.72, 0.67, 0.54, 0.29
64.43, 86.82, 0.65, 0.54, 0.50
61.34, 87.42, 0.66, 0.54, 0.38
63.71, 88.72, 0.64, 0.51, 0.13
59.72, 84.04, 0.67, 0.52, 0.23
58.75, 86.20, 0.69, 0.53, 0.14
59.46, 88.86, 0.66, 0.53, 0.32
60.12, 91.32, 0.68, 0.52, 0.18
56.54, 92.55, 0.71, 0.60, 0.24
59.27, 88.75, 0.70, 0.54, 0.10
58.28, 89.77, 0.70, 0.57, 0.50
60.79, 91.54, 0.68, 0.54, 0.12
61.59, 89.39, 0.67, 0.58, 0.46
58.90, 89.55, 0.71, 0.53, 0.43
59.79, 90.35, 0.67, 0.54, 0.20
59.69, 86.29, 0.69, 0.55, 0.38
59.75, 86.74, 0.67, 0.48, 0.07
61.12, 90.00, 0.67, 0.56, 0.36
62.86, 91.47, 0.65, 0.52, 0.11
62.86, 89.92, 0.67, 0.56, 0.39
70.80, 95.43, 0.61, 0.61, 0.29
59.31, 85.97, 0.68, 0.52, 0.38
61.38, 88.97, 0.66, 0.52, 0.14
62.47, 89.83, 0.65, 0.56, 0.31
64.69, 91.18, 0.62, 0.53, 0.29
66.79, 98.33, 0.63, 0.69, 0.82
58.31, 92.61, 0.68, 0.62, 0.50
64.08, 88.15, 0.65, 0.56, 0.19
60.05, 87.11, 0.68, 0.53, 0.40
60.69, 90.16, 0.67, 0.53, 0.14
60.32, 88.59, 0.66, 0.54, 0.38
66.62, 90.97, 0.62, 0.60, 0.33
68.60, 95.11, 0.61, 0.62, 0.54
66.22, 93.43, 0.64, 0.59, 0.48
59.29, 87.20, 0.67, 0.52, 0.09
61.81, 84.75, 0.66, 0.52, 0.34
58.89, 86.77, 0.67, 0.53, 0.28
61.08, 88.33, 0.68, 0.54, 0.54
61.54, 86.92, 0.67, 0.52, 0.07
59.64, 92.88, 0.68, 0.60, 0.38
60.58, 90.42, 0.65, 0.52, 0.07
58.10, 88.70, 0.70, 0.55, 0.43
77.40, 98.30, 0.56, 0.76, 0.98
62.59, 90.22, 0.67, 0.52, 0.10
83.00, 102.16, 0.54, 0.91, 0.90
61.90, 95.23, 0.66, 0.58, 0.28
57.90, 89.05, 0.71, 0.54, 0.31
58.83, 95.45, 0.69, 0.59, 0.23
65.51, 91.87, 0.64, 0.62, 0.69
60.75, 89.16, 0.68, 0.55, 0.66
80.74, 99.82, 0.55, 0.73, 0.65
71.93, 92.75, 0.60, 0.62, 0.64
59.62, 87.24, 0.68, 0.50, 0.09
74.26, 96.27, 0.58, 0.70, 0.88
58.05, 82.61, 0.69, 0.51, 0.30
59.52, 85.09, 0.69, 0.51, 0.72
66.63, 92.84, 0.64, 0.58, 0.34
59.47, 85.83, 0.68, 0.50, 0.30
63.85, 91.27, 0.65, 0.52, 0.16
64.12, 91.21, 0.65, 0.57, 0.40
73.28, 99.79, 0.60, 0.68, 0.76
70.09, 94.52, 0.61, 0.58, 0.42
62.99, 87.72, 0.67, 0.51, 0.32
64.01, 88.48, 0.65, 0.52, 0.17
59.06, 85.20, 0.67, 0.49, 0.31
59.79, 86.18, 0.68, 0.52, 0.05
59.55, 88.71, 0.69, 0.53, 0.40
58.76, 88.68, 0.69, 0.53, 0.10
62.24, 88.89, 0.65, 0.60, 0.58
59.47, 89.44, 0.69, 0.61, 0.38
61.07, 88.41, 0.65, 0.50, 0.08
60.98, 87.74, 0.67, 0.54, 0.33
58.85, 83.84, 0.67, 0.54, 0.13
62.20, 93.24, 0.66, 0.57, 0.44
56.73, 98.45, 0.72, 0.53, 0.19
60.21, 93.41, 0.68, 0.56, 0.40
58.30, 98.06, 0.70, 0.54, 0.26
58.13, 95.00, 0.72, 0.55, 0.57
56.97, 92.66, 0.73, 0.57, 0.66
