0.11, 0.98, 1.06, 1.45, 0.03
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00
30.94, 25.18, 0.74, 0.80, 0.01
35.11, 79.27, 0.74, 0.70, 0.02
32.34, 78.02, 0.75, 0.69, 0.20
32.42, 78.54, 0.75, 0.70, 0.00
31.09, 76.22, 0.76, 0.73, 0.21
32.41, 79.16, 0.74, 0.70, 0.00
31.83, 78.22, 0.75, 0.71, 0.22
31.89, 78.86, 0.76, 0.70, 0.00
32.68, 78.29, 0.77, 0.73, 0.26
32.86, 79.75, 0.74, 0.71, 0.00
31.91, 78.31, 0.78, 0.75, 0.37
32.77, 79.05, 0.75, 0.72, 0.00
32.41, 77.50, 0.75, 0.74, 0.18
31.77, 78.29, 0.74, 0.69, 0.00
32.96, 79.56, 0.77, 0.73, 0.30
33.27, 78.40, 0.76, 0.74, 0.26
34.74, 81.16, 0.72, 0.71, 0.00
30.96, 76.34, 0.74, 0.69, 0.24
31.93, 79.17, 0.73, 0.68, 0.00
31.54, 76.88, 0.74, 0.71, 0.22
32.75, 78.36, 0.74, 0.71, 0.02
29.74, 74.79, 0.75, 0.71, 0.30
31.30, 76.98, 0.73, 0.70, 0.00
31.58, 76.54, 0.75, 0.72, 0.21
33.47, 78.93, 0.71, 0.72, 0.02
30.57, 75.57, 0.74, 0.72, 0.28
30.91, 76.68, 0.73, 0.70, 0.00
30.26, 75.16, 0.78, 0.73, 0.24
33.41, 80.16, 0.73, 0.69, 0.00
32.36, 77.31, 0.71, 0.68, 0.04
32.86, 78.80, 0.71, 0.69, 0.00
15.95, 59.04, 0.88, 0.94, 0.91
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.07, 0.00, 1.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00
