25.44, 6.74, 0.07, 0.31, 0.06
22.24, 25.88, 0.07, 0.71, 0.40
22.10, 27.82, 0.06, 2.43, 1.47
22.51, 26.49, 0.09, 0.57, 0.48
20.90, 24.86, 0.06, 2.76, 1.60
24.10, 29.87, 0.06, 0.81, 0.48
20.09, 23.93, 0.05, 1.09, 0.46
23.16, 28.12, 0.06, 2.94, 1.85
20.86, 24.74, 0.07, 0.89, 0.48
22.82, 26.69, 0.04, 1.09, 0.50
24.64, 30.43, 0.06, 0.78, 0.48
19.63, 23.54, 0.06, 0.94, 0.46
18.49, 23.36, 0.04, 1.08, 0.52
20.04, 23.98, 0.07, 3.68, 2.09
22.74, 26.54, 0.10, 1.00, 0.82
21.34, 24.84, 0.08, 0.75, 0.52
24.07, 28.13, 0.04, 0.83, 0.36
22.87, 28.04, 0.08, 2.43, 1.68
23.52, 29.06, 0.06, 2.45, 1.68
21.60, 25.21, 0.04, 1.17, 0.48
23.64, 27.60, 0.06, 0.80, 0.41
21.72, 25.43, 0.10, 0.66, 0.47
19.36, 28.62, 0.11, 5.04, 3.13
20.34, 26.02, 0.09, 0.80, 0.50
21.03, 24.29, 0.05, 2.40, 1.22
25.73, 29.83, 0.06, 1.59, 1.14
19.33, 23.23, 0.04, 1.58, 0.72
23.31, 28.39, 0.04, 0.81, 0.38
22.13, 25.99, 0.08, 0.72, 0.47
22.52, 28.51, 0.08, 0.53, 0.37
21.01, 24.82, 0.05, 1.00, 0.47
22.54, 26.59, 0.04, 3.35, 1.88
23.55, 28.38, 0.06, 0.99, 0.57
19.61, 23.67, 0.07, 0.86, 0.48
22.04, 27.97, 0.06, 0.73, 0.38
22.08, 26.03, 0.08, 0.97, 0.64
19.02, 22.97, 0.05, 3.42, 1.91
18.73, 23.83, 0.07, 4.69, 2.52
19.13, 23.07, 0.05, 4.06, 2.00
20.46, 24.23, 0.05, 1.60, 0.70
23.66, 27.73, 0.06, 0.66, 0.37
22.30, 25.94, 0.08, 0.65, 0.45
22.40, 28.11, 0.06, 0.77, 0.36
22.95, 28.05, 0.07, 4.37, 2.66
21.45, 25.15, 0.05, 1.08, 0.50
22.07, 26.11, 0.05, 1.02, 0.48
22.41, 26.22, 0.04, 1.04, 0.47
21.81, 28.58, 0.06, 0.78, 0.39
18.94, 23.13, 0.10, 0.94, 0.59
24.81, 28.74, 0.06, 1.22, 0.81
24.35, 28.15, 0.10, 1.63, 1.22
19.78, 23.73, 0.07, 1.36, 0.72
19.62, 29.53, 0.04, 1.35, 0.49
23.89, 29.94, 0.09, 2.76, 1.80
19.91, 23.88, 0.09, 0.65, 0.38
23.86, 27.82, 0.05, 1.13, 0.57
21.38, 25.31, 0.06, 3.50, 2.01
22.43, 26.37, 0.08, 0.52, 0.38
23.60, 28.88, 0.10, 2.57, 2.01
22.06, 27.52, 0.04, 1.39, 0.60
20.80, 24.32, 0.07, 2.25, 1.17
19.67, 23.62, 0.09, 3.12, 1.82
18.51, 22.38, 0.07, 4.18, 2.09
19.88, 25.45, 0.09, 1.74, 1.04
20.52, 24.45, 0.06, 1.01, 0.54
23.20, 27.09, 0.09, 0.53, 0.46
23.09, 27.04, 0.06, 2.74, 1.78
21.53, 25.23, 0.05, 1.24, 0.56
21.15, 27.93, 0.10, 0.64, 0.46
25.02, 28.94, 0.04, 3.36, 1.84
22.05, 25.98, 0.06, 1.02, 0.48
21.90, 25.83, 0.10, 0.48, 0.39
21.88, 25.82, 0.08, 0.91, 0.54
16.59, 23.64, 0.11, 2.10, 1.24
28.14, 31.79, 0.04, 1.13, 0.66
19.67, 23.62, 0.07, 0.96, 0.46
21.02, 24.92, 0.07, 1.96, 1.05
22.81, 26.80, 0.04, 1.33, 0.56
23.61, 28.50, 0.06, 3.53, 1.94
21.82, 27.58, 0.06, 1.00, 0.47
22.66, 26.63, 0.04, 1.27, 0.50
21.32, 25.26, 0.07, 0.97, 0.48
22.11, 26.04, 0.06, 0.90, 0.46
19.83, 30.62, 0.10, 3.40, 2.05
23.68, 29.43, 0.04, 1.00, 0.42
20.11, 23.78, 0.04, 3.25, 1.50
20.32, 23.50, 0.09, 3.90, 1.98
19.25, 23.20, 0.10, 3.25, 1.62
23.14, 28.22, 0.07, 0.85, 0.49
22.59, 26.09, 0.08, 3.06, 1.93
22.89, 26.88, 0.06, 0.82, 0.44
23.84, 27.52, 0.08, 2.43, 1.58
21.23, 27.28, 0.04, 1.25, 0.56
21.52, 26.80, 0.04, 1.19, 0.56
24.22, 28.28, 0.04, 2.48, 1.28
24.61, 28.56, 0.04, 1.28, 0.65
22.04, 25.89, 0.06, 3.22, 1.74
21.72, 25.59, 0.08, 1.77, 1.00
26.37, 31.67, 0.05, 2.57, 1.38
22.75, 26.78, 0.04, 3.79, 1.91
21.62, 27.46, 0.08, 1.17, 0.65
21.71, 25.66, 0.05, 1.00, 0.40
21.62, 25.61, 0.04, 1.20, 0.47
21.36, 26.27, 0.10, 0.47, 0.37
23.45, 27.16, 0.09, 0.59, 0.47
22.64, 26.58, 0.06, 3.48, 1.88
22.61, 28.55, 0.04, 1.21, 0.47
23.91, 27.85, 0.06, 3.17, 1.78
17.94, 23.05, 0.09, 0.74, 0.42
20.60, 23.91, 0.07, 3.12, 1.51
19.49, 23.34, 0.07, 4.45, 2.20
19.82, 23.77, 0.07, 3.38, 1.69
24.27, 28.21, 0.06, 1.69, 0.98
24.09, 28.91, 0.07, 3.54, 2.03
24.01, 27.91, 0.04, 1.28, 0.66
21.65, 27.54, 0.04, 2.71, 1.38
22.89, 26.29, 0.04, 1.05, 0.48
23.85, 27.74, 0.08, 0.54, 0.37
22.16, 27.27, 0.08, 4.80, 2.72
20.53, 30.51, 0.08, 18.56, 12.38
20.54, 26.38, 0.07, 1.10, 0.52
19.65, 23.62, 0.05, 2.91, 1.26
26.73, 30.71, 0.06, 1.83, 1.10
19.08, 24.12, 0.10, 0.52, 0.40
24.41, 28.22, 0.04, 1.17, 0.53
21.98, 25.94, 0.04, 1.39, 0.58
22.03, 28.10, 0.10, 0.48, 0.37
22.71, 26.65, 0.08, 2.90, 1.62
20.58, 25.75, 0.08, 0.86, 0.48
23.38, 27.24, 0.06, 0.83, 0.39
20.02, 23.97, 0.05, 1.04, 0.38
23.36, 29.28, 0.11, 0.41, 0.47
20.80, 24.75, 0.08, 0.67, 0.39
19.17, 24.38, 0.09, 0.96, 0.59
18.08, 22.02, 0.05, 4.08, 1.69
19.86, 23.77, 0.07, 5.31, 2.66
21.71, 25.42, 0.06, 1.01, 0.57
22.25, 26.38, 0.08, 0.59, 0.38
23.36, 30.37, 0.04, 1.02, 0.47
24.67, 28.48, 0.04, 2.76, 1.50
22.25, 26.06, 0.08, 0.75, 0.47
21.97, 25.97, 0.07, 3.56, 2.01
24.38, 28.36, 0.06, 0.85, 0.48
20.70, 25.89, 0.08, 0.81, 0.50
22.44, 28.32, 0.04, 2.96, 1.52
20.86, 24.28, 0.05, 3.23, 1.55
19.92, 23.70, 0.05, 2.92, 1.36
28.06, 31.64, 0.05, 1.59, 1.00
18.00, 23.45, 0.08, 1.02, 0.48
20.95, 24.67, 0.09, 2.04, 1.13
22.51, 26.63, 0.06, 0.83, 0.40
19.49, 23.41, 0.07, 1.23, 0.57
22.83, 28.63, 0.05, 1.32, 0.61
20.12, 25.25, 0.09, 0.91, 0.52
22.35, 26.31, 0.06, 1.12, 0.57
21.22, 31.30, 0.05, 9.11, 6.14
20.37, 24.20, 0.07, 1.41, 0.67
21.88, 27.65, 0.08, 0.78, 0.44
19.88, 25.17, 0.05, 3.21, 1.40
16.62, 20.57, 0.05, 7.37, 3.03
19.91, 23.87, 0.07, 3.38, 1.67
21.96, 25.77, 0.07, 1.30, 0.61
20.74, 24.25, 0.05, 1.31, 0.52
22.34, 27.42, 0.09, 0.64, 0.36
19.70, 23.30, 0.09, 0.89, 0.46
21.66, 27.81, 0.05, 0.94, 0.39
20.52, 24.44, 0.05, 1.35, 0.56
22.91, 26.83, 0.07, 0.92, 0.47
20.05, 24.89, 0.09, 0.70, 0.38
20.32, 26.25, 0.09, 0.90, 0.48
20.43, 24.27, 0.05, 4.22, 1.92
18.52, 22.57, 0.08, 5.24, 2.40
26.70, 30.44, 0.06, 2.16, 1.38
20.64, 25.90, 0.05, 1.25, 0.44
20.54, 23.84, 0.07, 1.30, 0.57
23.93, 27.59, 0.05, 1.19, 0.56
21.64, 25.46, 0.08, 0.80, 0.47
22.27, 28.20, 0.06, 0.82, 0.38
23.22, 28.70, 0.09, 1.64, 1.05
20.12, 23.92, 0.09, 1.44, 0.87
23.31, 27.38, 0.08, 0.52, 0.36
22.40, 26.36, 0.06, 0.90, 0.48
22.15, 26.07, 0.05, 3.61, 1.85
18.34, 23.65, 0.10, 3.04, 1.51
19.08, 23.02, 0.10, 3.78, 2.14
19.79, 23.11, 0.07, 5.04, 2.52
20.50, 26.15, 0.07, 2.14, 1.06
23.62, 27.73, 0.06, 0.90, 0.46
22.44, 27.68, 0.05, 3.23, 1.77
24.93, 28.73, 0.09, 3.31, 2.12
21.97, 25.38, 0.08, 0.80, 0.48
20.40, 30.21, 0.10, 6.50, 4.24
22.08, 26.01, 0.06, 0.76, 0.37
21.74, 28.92, 0.06, 0.97, 0.50
19.77, 23.73, 0.04, 1.01, 0.39
20.78, 24.71, 0.06, 1.25, 0.61
23.53, 27.40, 0.08, 1.04, 0.61
23.48, 27.50, 0.05, 1.85, 0.98
18.12, 23.43, 0.05, 2.72, 1.19
24.57, 30.41, 0.04, 1.36, 0.73
22.85, 26.75, 0.04, 3.85, 2.05
20.97, 24.97, 0.06, 0.86, 0.38
24.60, 28.56, 0.07, 0.73, 0.47
23.38, 28.31, 0.08, 3.09, 1.89
19.84, 23.63, 0.05, 1.02, 0.38
24.55, 30.50, 0.07, 0.74, 0.48
21.25, 25.13, 0.08, 0.82, 0.48
20.62, 24.58, 0.09, 0.70, 0.48
19.90, 25.13, 0.07, 1.85, 0.91
18.32, 22.26, 0.08, 3.57, 1.72
20.91, 24.87, 0.04, 3.32, 1.54
25.69, 28.89, 0.08, 2.90, 1.85
24.55, 30.23, 0.06, 0.90, 0.46
21.75, 27.13, 0.05, 2.26, 1.10
20.59, 24.55, 0.06, 1.03, 0.48
23.94, 27.88, 0.06, 0.76, 0.37
24.89, 28.21, 0.11, 2.04, 1.43
21.88, 25.56, 0.06, 0.98, 0.48
22.21, 29.29, 0.06, 3.76, 1.96
20.34, 24.27, 0.05, 3.98, 1.74
21.09, 24.98, 0.05, 2.49, 1.16
28.65, 32.63, 0.04, 0.75, 0.29
19.96, 23.91, 0.09, 1.09, 0.62
22.51, 27.63, 0.07, 1.68, 0.93
21.87, 25.79, 0.06, 0.96, 0.47
21.51, 27.40, 0.06, 0.85, 0.40
24.11, 28.02, 0.11, 2.42, 1.62
19.08, 29.38, 0.08, 17.11, 10.81
22.43, 27.49, 0.10, 0.66, 0.48
23.54, 27.09, 0.06, 3.28, 1.88
21.83, 26.16, 0.06, 0.90, 0.47
23.99, 27.93, 0.06, 3.37, 1.84
20.18, 23.76, 0.04, 2.81, 1.16
17.92, 22.82, 0.08, 5.83, 2.78
20.04, 23.85, 0.04, 3.11, 1.32
19.38, 25.31, 0.11, 2.89, 1.54
24.67, 28.61, 0.06, 0.73, 0.36
22.59, 26.39, 0.08, 0.96, 0.54
20.95, 25.95, 0.10, 2.67, 1.52
24.42, 28.25, 0.06, 1.06, 0.57
22.10, 25.71, 0.08, 0.80, 0.48
22.53, 26.56, 0.04, 3.27, 1.62
23.14, 29.08, 0.08, 0.62, 0.40
19.52, 24.46, 0.07, 0.88, 0.41
19.02, 22.96, 0.05, 3.27, 1.51
24.12, 28.02, 0.06, 2.39, 1.32
22.05, 25.84, 0.09, 1.30, 0.77
20.25, 23.89, 0.08, 2.50, 1.33
19.48, 24.73, 0.07, 1.35, 0.63
21.83, 27.48, 0.07, 1.03, 0.49
21.59, 25.66, 0.04, 1.42, 0.58
22.61, 26.48, 0.08, 0.72, 0.47
22.21, 26.09, 0.08, 0.73, 0.48
22.07, 27.25, 0.06, 3.09, 1.79
22.41, 28.08, 0.05, 1.14, 0.47
21.94, 25.38, 0.06, 1.15, 0.58
19.51, 23.32, 0.04, 1.49, 0.58
21.02, 24.92, 0.06, 2.47, 1.16
18.75, 23.80, 0.10, 4.31, 2.15
21.41, 25.22, 0.04, 1.77, 0.84
25.06, 28.95, 0.07, 3.30, 1.94
21.25, 25.23, 0.06, 0.94, 0.45
22.26, 28.18, 0.05, 0.87, 0.36
18.85, 28.46, 0.13, 16.27, 10.24
23.68, 28.59, 0.08, 0.77, 0.46
21.12, 24.95, 0.08, 2.71, 1.56
22.09, 26.04, 0.06, 0.74, 0.36
23.52, 29.07, 0.09, 0.61, 0.48
18.73, 22.68, 0.05, 1.69, 0.65
16.84, 21.66, 0.08, 6.67, 2.78
26.96, 30.92, 0.05, 2.10, 1.19
19.26, 23.21, 0.06, 1.42, 0.57
24.30, 28.23, 0.04, 1.25, 0.52
19.23, 23.19, 0.11, 0.51, 0.38
23.71, 30.59, 0.06, 1.04, 0.47
21.10, 25.00, 0.10, 0.69, 0.48
24.26, 27.64, 0.06, 3.12, 1.62
24.05, 27.99, 0.08, 0.79, 0.50
19.80, 23.73, 0.07, 1.06, 0.48
23.22, 28.43, 0.04, 3.11, 1.60
22.37, 28.18, 0.09, 1.05, 0.76
20.34, 24.29, 0.06, 1.90, 0.96
19.05, 23.02, 0.04, 4.48, 2.01
19.85, 23.79, 0.07, 4.27, 2.26
20.34, 25.34, 0.10, 1.50, 0.93
24.83, 28.71, 0.06, 0.91, 0.48
23.07, 26.98, 0.04, 2.86, 1.64
21.81, 25.59, 0.06, 1.00, 0.48
